Time Stamp,AirTemp(F),AirTemp(c)
yyyy-mm-dd hh:mm:ss,F,C
2017-10-01 12:53:00,48.9,9.4
2017-10-01 01:53:00,46.9,8.3
2017-10-01 02:53:00,46.9,8.3
2017-10-01 03:53:00,45.0,7.3
2017-10-01 04:53:00,44.1,6.8
2017-10-01 05:53:00,44.1,6.8
2017-10-01 06:53:00,45.0,7.3
2017-10-01 07:53:00,48.0,8.9
2017-10-01 08:53:00,53.1,11.8
2017-10-01 09:53:00,57.9,14.4
2017-10-01 10:53:00,66.0,18.9
2017-10-01 11:53:00,69.1,20.7
2017-10-01 12:53:00,72.0,22.3
2017-10-01 01:53:00,73.9,23.3
2017-10-01 02:53:00,73.9,23.3
2017-10-01 03:53:00,77.0,25.0
2017-10-01 04:53:00,75.0,23.9
2017-10-01 05:53:00,73.0,22.8
2017-10-01 06:53:00,66.0,18.9
2017-10-01 07:53:00,63.0,17.3
2017-10-01 08:53:00,62.1,16.8
2017-10-01 09:53:00,61.0,16.2
2017-10-01 10:53:00,61.0,16.2
2017-10-01 11:53:00,61.0,16.2
2017-10-02 12:53:00,61.0,16.2
2017-10-02 01:53:00,64.9,18.3
2017-10-02 02:53:00,66.0,18.9
2017-10-02 03:53:00,64.0,17.8
2017-10-02 04:53:00,66.0,18.9
2017-10-02 05:53:00,63.0,17.3
2017-10-02 06:53:00,62.1,16.8
2017-10-02 07:53:00,64.9,18.3
2017-10-02 08:53:00,68.0,20.0
2017-10-02 09:53:00,72.0,22.3
2017-10-02 10:53:00,73.0,22.8
2017-10-02 11:53:00,78.1,25.7
2017-10-02 12:53:00,82.9,28.3
2017-10-02 01:53:00,84.0,28.9
2017-10-02 02:53:00,84.0,28.9
2017-10-02 03:53:00,82.9,28.3
2017-10-02 04:53:00,82.0,27.8
2017-10-02 05:53:00,80.1,26.8
2017-10-02 06:53:00,75.0,23.9
2017-10-02 07:53:00,71.1,21.8
2017-10-02 08:53:00,69.1,20.7
2017-10-02 09:53:00,68.0,20.0
2017-10-02 10:53:00,69.1,20.7
2017-10-03 12:53:00,68.0,20.0
2017-10-03 01:53:00,68.0,20.0
2017-10-03 02:53:00,66.9,19.4
2017-10-03 03:53:00,64.9,18.3
2017-10-03 04:53:00,66.0,18.9
2017-10-03 05:53:00,66.0,18.9
2017-10-03 06:53:00,66.0,18.9
2017-10-03 07:53:00,68.0,20.0
2017-10-03 08:53:00,71.1,21.8
2017-10-03 09:53:00,73.0,22.8
2017-10-03 10:53:00,75.0,23.9
2017-10-03 11:53:00,78.1,25.7
2017-10-03 12:53:00,75.0,23.9
2017-10-03 01:53:00,70.0,21.2
2017-10-03 02:03:00,71.1,21.8
2017-10-03 02:53:00,71.1,21.8
2017-10-03 03:53:00,72.0,22.3
2017-10-03 04:53:00,72.0,22.3
2017-10-03 05:53:00,73.0,22.8
2017-10-03 06:53:00,71.1,21.8
2017-10-03 07:34:00,70.0,21.2
2017-10-03 07:43:00,70.0,21.2
2017-10-03 07:53:00,70.0,21.2
2017-10-03 08:53:00,69.1,20.7
2017-10-03 09:53:00,69.1,20.7
2017-10-03 10:53:00,70.0,21.2
2017-10-03 11:53:00,70.0,21.2
2017-10-04 12:53:00,71.1,21.8
